,State/UT,Rural_Government_Hospitals,Rural_Government_Beds,Urban_Government_Hospitals,Urban_Government_Beds,Last_Updated
1,Andhra Pradesh,193,6480,65,16658,2017-01-01
2,Arunachal Pradesh,208,2136,10,268,2017-12-31
3,Assam,1176,10944,50,6198,2017-12-31
4,Bihar,930,6083,103,5936,2016-12-31
5,Chhattisgarh,169,5070,45,4342,2016-01-01
6,Goa,17,1405,25,1608,2017-12-31
7,Gujarat,364,11715,122,20565,2016-12-31
8,Haryana,609,6690,59,4550,2016-12-31
9,Himachal Pradesh,705,5665,96,6734,2017-12-31
10,Jammu and Kashmir,56,7234,76,4417,2016-12-30
11,Jharkhand,519,5842,36,4942,2015-12-31
12,Karnataka,2471,21072,374,49093,2017-12-31
13,Kerala,981,16865,299,21139,2017-01-01
14,Madhya Pradesh,334,10020,117,18819,2016-01-01
15,Maharashtra,273,12398,438,39048,2015-12-31
16,Manipur,23,730,7,697,2014-01-01
17,Meghalaya,143,1970,14,2487,2017-12-31
18,Mizoram,56,604,34,1393,2017-12-31
19,Nagaland,21,630,15,1250,2015-12-31
20,Odisha,1655,6339,149,12180,2017-12-31
21,Punjab,510,5805,172,12128,2017-12-31
22,Rajasthan,602,21088,150,10760,2016-12-31
23,Sikkim,24,260,9,1300,2017-12-31
24,Tamil Nadu,692,40179,525,37353,2017-12-31
25,Telangana,802,7668,61,13315,2017-12-31
26,Tripura,99,1140,56,3277,2017-12-31
27,Uttar Pradesh,4442,39104,193,37156,2017-12-31
28,Uttarakhand,410,3284,50,5228,2015-12-31
29,West Bengal,1272,19684,294,58882,2015-01-01
30,Andaman and Nicobar Islands,27,575,3,500,2016-12-31
31,Chandigarh,0,0,4,778,2016-12-31
32,Dadra and Nagar Haveli,10,273,1,316,2017-12-31
33,Daman and Diu,5,240,0,0,2015-12-31
34,Delhi,0,0,109,24383,2015-01-01
35,Lakshadweep,9,300,0,0,2016-01-01
36,Puducherry,3,96,11,3473,2016-01-01
37,India,19810,279588,3772,431173,
